idx_pdf,n1,n2,n3,n4,n5,pb
996,28,34,51,53,56,11
997,5,26,41,59,66,11
998,19,35,53,54,67,21
999,1,24,32,63,69,13
1000,16,20,44,57,58,6
1001,8,18,29,44,68,3
1002,7,14,24,30,56,7
1003,4,15,31,52,62,16
1004,10,33,41,47,56,10
1005,1,21,27,29,40,18
1006,28,45,53,56,69,20
1007,4,23,27,31,56,15
1008,2,11,22,35,60,23
1009,20,34,37,57,67,26
1010,13,19,36,39,59,13
1011,9,14,52,57,62,24
1012,19,31,40,46,57,23
1013,9,13,31,35,37,1
1014,19,36,37,46,56,24
1015,5,36,38,39,54,19
1016,18,23,35,45,54,16
1017,12,48,51,63,67,26
1018,19,25,48,55,60,18
1019,9,21,30,49,51,3
1020,6,8,15,27,42,10
1021,4,24,32,55,59,13
1022,19,30,36,46,60,25
1023,29,35,36,40,52,18
1024,32,37,40,58,62,15
1025,6,19,32,48,50,1
1026,14,30,41,42,59,6
1027,4,22,36,39,64,14
1028,3,6,11,17,22,11
1029,4,24,35,52,62,10
1030,13,43,53,60,68,5
1031,3,33,46,63,68,17
1032,26,30,33,37,62,6
1033,17,23,24,36,61,16
1034,2,16,22,55,63,22
1035,4,5,50,66,67,15
1036,8,21,22,65,69,26
1037,1,24,43,53,63,18
1038,6,10,24,33,67,11
1039,14,24,34,56,60,8
1040,13,20,31,33,59,20
1041,7,15,39,54,59,11
1042,3,9,21,24,29,14
1043,15,30,38,46,66,25
1044,6,33,34,45,54,7
1045,18,28,39,47,49,16
1046,7,15,36,46,67,7
1047,7,11,23,27,38,4
1048,5,25,36,51,61,1
1049,9,23,37,41,55,1
1050,9,10,20,22,52,25
1051,15,16,17,23,29,5
1052,6,14,16,34,66,25
1053,1,16,19,48,60,11
1054,38,42,56,68,69,4
1055,25,30,34,55,56,26
1056,3,16,30,33,36,20
1057,4,26,28,29,42,10
1058,4,7,32,55,64,25
1059,10,31,48,50,68,7
1060,18,27,49,65,69,9
1061,4,9,15,33,46,21
1062,7,8,19,24,28,1
1063,7,15,21,41,56,16
1064,13,36,43,61,69,18
1065,25,27,51,52,58,1
1066,2,18,56,60,65,14
1067,16,18,43,49,51,6
1068,6,24,35,37,44,22
1069,14,30,38,52,62,24
1070,12,27,34,55,67,9
1071,42,50,59,61,64,21
1072,5,9,11,16,66,7
1073,14,19,36,39,65,25
1074,23,28,41,50,55,24
1075,15,16,36,53,61,14
1076,20,24,47,50,63,5
1077,16,37,53,56,63,22
1078,19,24,35,43,62,2
1079,10,29,37,43,65,19
1080,29,44,59,61,68,19
1081,11,24,30,53,69,7
1082,32,45,51,57,58,12
1083,11,42,46,48,57,9
1084,8,15,46,56,68,3
1085,9,19,30,40,48,16
1086,9,21,56,57,66,11
1087,24,28,29,31,48,12
1088,15,21,31,36,65,16
1089,11,26,27,55,57,2
1090,4,17,57,58,68,12
1091,16,19,23,32,40,15
1092,1,25,44,55,57,26
1093,2,10,11,63,68,1
1094,25,37,38,39,65,5
1095,34,41,43,66,68,8
1096,39,41,54,59,62,12
1097,20,29,34,50,63,20
1098,10,20,23,49,65,22
1099,4,14,26,30,52,18
1100,14,34,36,50,58,5
1101,9,29,39,43,56,19
1102,3,18,23,32,57,21
1103,2,19,32,36,56,5
1104,22,23,36,47,63,2
1105,14,17,21,32,37,8
1106,4,26,34,37,52,9
1107,16,25,38,62,67,5
1108,14,22,42,46,52,24
1109,14,23,24,57,65,18
1110,32,36,49,62,69,13
1111,2,5,20,26,31,13
1112,15,16,24,31,56,4
1113,9,41,55,57,60,5
1114,9,10,37,59,62,26
1115,4,7,22,57,59,24
1116,8,40,49,58,63,14
1117,11,26,28,34,60,5
1118,11,13,18,30,37,16
1119,34,47,53,57,68,2
1120,6,12,20,27,32,4
1121,16,46,58,63,69,18
1122,6,10,31,48,56,12
1123,7,31,39,51,53,21
1124,3,44,61,63,69,13
1125,4,26,27,43,56,18
1126,10,19,40,45,58,25
1127,7,18,23,30,53,3
1128,19,28,41,42,51,7
1129,3,44,47,48,67,11
1130,2,27,42,44,51,25
1131,8,20,35,48,67,15
1132,18,20,26,53,69,5
1133,1,32,46,56,65,23
1134,22,39,43,62,64,7
1135,23,49,51,58,65,12
1136,2,10,35,44,46,4
1137,1,10,36,53,61,21
1138,14,16,36,52,60,16
1139,11,39,41,55,61,10
1140,11,41,56,57,63,2
1141,9,20,22,39,47,10
1142,27,28,51,68,69,22
1143,11,13,22,44,51,15
1144,2,39,50,61,66,15
1145,11,34,52,61,69,24
1146,19,28,39,42,57,17
1147,3,16,20,33,45,11
1148,1,33,37,39,42,26
1149,33,45,60,62,65,2
1150,14,15,25,52,58,11
1151,16,20,35,54,69,15
1152,40,41,58,64,65,17
1153,9,27,41,59,64,21
1154,7,15,22,36,64,13
1155,7,12,34,35,67,26
1156,6,40,41,45,52,9
1157,23,36,41,42,65,14
1158,5,7,61,63,69,18
1159,2,24,34,42,54,11
1160,18,30,35,52,56,5
1161,3,42,45,57,67,2
1162,4,5,6,28,67,10
1163,14,22,38,56,60,17
1164,37,39,55,63,69,23
1165,6,31,39,44,46,26
1166,18,27,33,39,44,8
1167,6,23,29,37,65,12
1168,14,21,37,44,63,1
1169,11,30,48,56,69,20
1170,11,36,61,62,68,4
1171,1,12,35,38,50,10
1172,12,18,20,39,61,10
1173,14,23,29,38,43,20
1174,10,39,47,49,56,8
1175,2,30,39,54,63,17
1176,20,30,45,55,56,14
1177,4,15,16,21,52,20
1178,8,33,55,59,62,18
1179,12,17,29,65,66,7
1180,15,21,32,62,65,26
1181,33,40,47,55,64,5
1182,14,16,41,63,68,26
1183,17,51,54,55,58,19
1184,5,7,24,31,34,4
1185,18,20,24,29,47,12
1186,6,16,31,62,66,18
1187,3,5,35,48,67,5
1188,6,42,45,47,64,18
1189,4,29,56,57,58,2
1190,2,32,39,46,69,6
1191,6,49,55,58,59,15
1192,6,28,47,58,59,18
1193,6,7,41,57,61,14
1194,3,7,21,31,37,11
1195,1,24,44,48,52,22
1196,11,18,39,58,62,3
1197,23,32,36,51,59,9
1198,2,10,50,59,61,6
1199,18,39,40,55,60,25
1200,31,32,37,38,48,24
1201,15,18,24,26,62,1
1202,1,15,26,63,65,16
1203,14,17,25,51,57,24
1204,8,9,18,48,52,6
1205,27,31,53,57,68,3
1206,3,28,34,35,58,17
1207,15,22,48,50,67,16
1208,21,28,32,44,49,6
1209,7,8,11,19,40,6
1210,19,20,37,39,61,8
1211,4,16,40,49,50,15
1212,13,22,34,51,67,10
1213,8,9,43,45,63,4
1214,10,43,55,59,67,2
1215,17,24,26,41,43,26
1216,8,23,37,52,63,13
1217,2,25,32,33,50,12
1218,19,37,48,61,63,12
1219,1,7,10,32,56,13
1220,7,21,39,47,55,19
1221,11,16,28,44,51,16
1222,15,32,36,48,64,19
1223,22,25,58,62,64,18
1224,6,17,21,35,64,18
1225,7,11,19,34,59,14
1226,2,36,37,45,69,3
1227,22,23,29,39,43,18
1228,3,10,15,33,42,11
1229,21,22,30,41,67,3
1230,22,30,40,42,48,16
1231,18,25,28,30,38,10
1232,16,25,27,49,55,17
1233,1,5,35,37,49,11
1234,8,10,21,41,62,7
1235,4,6,15,53,61,23
1236,2,17,33,51,63,26
1237,21,36,42,47,68,3
1238,5,15,38,47,65,10
1239,9,20,27,47,55,14
1240,5,16,27,39,61,24
1241,13,17,24,44,52,17
1242,18,29,33,62,63,15
1243,12,39,55,66,67,16
1244,10,15,51,61,69,14
1245,28,31,33,38,61,5
1246,2,15,38,54,65,11
1247,18,35,39,53,69,5
1248,4,11,38,49,69,16
1249,10,27,40,43,45,25
1250,11,29,30,47,53,16
1251,1,20,22,23,33,18
1252,8,14,33,36,67,17
1253,2,10,30,45,47,21
1254,11,15,43,55,61,10
1255,24,25,35,59,63,11
1256,9,24,35,46,65,22
1257,7,19,33,38,64,22
1258,3,18,37,51,59,13
1259,7,16,24,53,62,24
1260,12,21,22,30,33,24
1261,14,25,50,53,66,2
1262,14,17,18,21,27,9
1263,11,28,47,59,68,23
1264,20,21,36,60,65,13
1265,31,48,50,54,66,20
1266,6,14,25,33,46,17
1267,23,41,56,62,65,4
1268,2,13,32,33,48,22
1269,4,19,26,64,65,16
1270,6,12,39,48,50,7
1271,4,6,7,10,30,9
1272,2,6,9,33,39,11
1273,43,51,53,63,68,5
1274,36,38,45,62,64,19
1275,6,11,23,24,40,9
1276,27,29,45,55,58,2
1277,1,15,28,48,51,26
1278,7,16,19,48,68,15
1279,4,25,49,59,61,11
1280,2,13,23,34,66,2
1281,8,26,36,37,47,19
1282,2,6,24,51,61,1
1283,9,16,37,57,66,11
1284,19,20,40,42,59,15
1285,11,21,22,50,58,2
1286,10,30,37,53,59,4
1287,18,25,28,41,53,13
1288,3,25,44,53,64,10
1289,10,20,28,46,62,25
1290,3,7,33,50,69,24
1291,2,9,51,63,68,15
1292,3,21,38,50,59,6
1293,8,15,27,55,66,17
1294,10,40,45,56,67,2
1295,6,19,36,46,59,8
1296,12,15,38,57,63,24
1297,2,25,34,58,59,26
1298,18,26,28,38,47,17
1299,1,31,59,67,68,14
1300,8,32,55,64,66,10
1301,7,11,19,31,58,14
1302,10,16,32,63,65,17
1303,1,18,23,25,61,17
1304,7,20,29,38,67,22
1305,7,22,27,39,50,4
1306,40,43,48,59,69,19
1307,3,24,37,44,46,19
1308,3,16,48,52,60,1
1309,32,44,46,55,68,22
1310,5,31,34,51,53,23
1311,1,6,10,52,64,18
1312,8,15,26,35,45,9
1313,13,16,28,37,60,7
1314,19,25,43,46,48,14
1315,10,31,49,58,67,4
1316,21,46,47,57,62,8
1317,5,6,15,22,51,19
1318,8,30,48,57,64,9
1319,5,23,27,52,55,9
1320,1,2,24,50,57,26
1321,10,22,24,37,47,2
1322,9,25,34,44,45,8
1323,15,37,43,44,50,2
1324,5,23,28,43,56,19
1325,26,29,35,39,46,11
1326,3,6,26,35,51,17
1327,9,17,21,26,35,6
1328,10,27,29,44,58,24
1329,1,26,29,46,67,13
1330,10,30,51,57,63,20
1331,3,8,10,11,33,7
1332,7,29,36,41,43,5
1333,1,4,31,37,64,24
1334,30,32,48,53,63,12
1335,2,19,21,62,66,7
1336,30,31,41,42,48,3
1337,26,33,42,44,45,20
1338,23,29,47,59,60,15
1339,10,34,37,58,60,7
1340,11,20,33,39,65,24
1341,9,39,44,49,60,12
1342,12,17,30,45,62,5
1343,1,26,37,38,62,17
1344,1,17,52,58,64,1
1345,1,5,17,22,30,4
1346,12,22,54,66,69,15
1347,4,13,18,61,63,17
1348,28,38,42,47,52,1
1349,6,12,39,58,61,22
1350,2,7,11,17,32,11
1351,3,19,29,50,58,3
1352,21,22,39,44,60,12
1353,2,27,51,62,66,1
1354,22,23,37,62,63,19
1355,14,18,27,31,56,2
1356,20,40,47,55,63,5
1357,6,7,36,41,59,7
1358,37,51,54,58,60,19
1359,6,12,49,58,67,7
1360,5,36,39,45,57,11
1361,1,11,17,20,42,20
1362,1,4,18,46,62,25
1363,5,34,36,38,57,7
1364,37,40,50,61,63,21
1365,15,29,32,35,56,9
1366,20,31,38,40,49,21
1367,7,39,54,64,67,11
1368,9,22,41,47,61,21
1369,5,33,40,50,59,6
1370,11,20,22,33,54,24
1371,5,10,31,38,43,20
1372,32,35,40,52,54,1
1373,4,40,42,49,54,24
1374,10,20,29,48,51,17
1375,23,35,45,59,63,24
1376,3,15,45,51,61,8
1377,18,27,42,43,47,13
1378,12,22,26,46,59,26
1379,6,13,41,47,48,10
1380,27,39,54,56,59,24
1381,19,31,41,51,53,25
1382,17,36,47,60,61,15
1383,3,28,34,39,63,25
1384,16,28,36,39,59,4
1385,35,36,51,55,61,26
1386,6,21,49,65,67,18
1387,12,18,20,29,30,16
1388,7,24,36,54,60,23
1389,5,21,32,36,58,14
1390,1,21,22,34,47,4
1391,25,30,53,59,60,5
1392,1,4,11,59,67,10
1393,27,28,44,67,68,11
1394,15,22,38,54,66,3
1395,33,46,52,59,62,10
1396,1,5,29,54,62,3
1397,8,21,30,49,57,8
1398,26,40,41,55,65,24
1399,24,29,50,65,66,14
1400,8,31,39,43,60,17
1401,13,20,40,51,63,1
1402,4,22,35,38,39,20
1403,19,29,34,44,50,25
1404,8,25,34,38,41,10
1405,19,28,46,50,54,9
1406,44,52,54,64,69,26
1407,6,7,11,66,67,19
1408,11,13,22,27,46,20
1409,2,8,21,34,62,16
1410,3,19,27,37,40,8
1411,11,13,55,56,69,4
1412,4,10,37,39,69,24
1413,1,19,20,38,54,17
1414,12,17,20,21,26,8
1415,16,23,28,40,63,1
1416,35,36,47,61,63,3
1417,16,18,35,39,53,21
1418,22,36,48,59,61,22
1419,21,25,32,63,67,6
1420,10,21,26,41,49,25
1421,13,30,33,45,61,14
1422,14,16,23,50,53,3
1423,27,35,39,51,66,16
1424,1,12,17,39,53,5
1425,3,10,44,55,68,24
1426,6,14,38,39,65,6
1427,4,9,17,27,38,18
1428,1,6,22,42,61,4
1429,34,38,42,61,62,19
1430,5,11,51,56,61,2
1431,17,18,37,44,53,18
1432,11,31,50,52,58,18
1433,21,40,44,50,55,16
1434,2,28,31,44,52,18
1435,4,33,43,53,65,21
1436,4,8,22,32,58,4
1437,1,15,21,32,46,1
1438,20,28,33,63,68,20
1439,15,39,58,63,67,7
1440,1,16,48,49,65,8
1441,5,37,40,64,66,5
1442,1,2,7,52,61,4
1443,17,33,35,42,52,9
1444,5,8,17,27,28,14
1445,40,53,60,68,69,22
1446,14,20,39,65,67,2
1447,4,19,23,25,49,14
1448,14,26,38,45,46,13
1449,1,20,22,60,66,3
1450,3,4,11,41,67,5
1451,3,43,45,61,65,14
1452,10,24,27,35,53,18
1453,6,13,38,39,53,6
1454,27,32,34,43,52,13
1455,4,23,37,61,67,7
1456,17,54,56,63,69,20
1457,11,14,31,47,48,4
1458,3,4,6,48,53,10
1459,28,31,40,41,46,4
1460,8,12,18,44,51,18
1461,2,57,58,60,65,26
1462,51,54,57,60,69,11
1463,4,5,17,43,52,5
1464,7,15,18,32,45,20
1465,13,15,17,45,63,13
1466,14,16,37,48,58,18
1467,23,32,33,45,49,14
1468,2,6,40,42,55,24
1469,11,28,37,40,53,13
1470,18,20,27,45,65,6
1471,1,3,13,44,56,26
1472,6,10,31,37,44,23
1473,21,37,52,53,58,5
1474,5,18,23,40,50,18
1475,6,24,30,53,56,19
1476,18,31,36,43,47,20
1477,14,18,36,49,67,18
1478,11,21,27,36,62,24
1479,8,17,49,52,59,1
1480,11,14,23,47,57,14
1481,10,17,31,51,53,1
1482,16,17,20,53,67,4
1483,27,52,55,60,64,21
1484,15,21,22,27,47,7
1485,1,4,11,20,69,18
1486,5,21,22,29,43,10
1487,8,12,19,47,58,2
1488,19,30,36,42,66,14
1489,13,23,47,55,58,23
1490,5,12,34,45,56,3
1491,2,6,18,36,37,21
1492,2,3,14,40,51,24
1493,7,14,17,57,65,24
1494,6,25,36,43,48,24
1495,7,29,35,40,45,26
1496,5,21,36,61,62,18
1497,16,25,36,44,55,14
1498,13,16,32,58,59,9
1499,27,47,61,62,69,4
1500,14,19,61,62,64,4
1501,3,10,34,36,62,5
1502,16,21,27,60,61,6
1503,15,28,52,53,63,18
1504,9,36,49,56,62,8
1505,15,22,27,33,46,23
1506,10,31,41,63,67,5
1507,7,10,63,64,68,10
1508,2,12,32,50,65,5
1509,10,33,41,52,54,18
1510,1,17,38,68,69,18
1511,1,3,26,41,64,17
1512,13,32,41,58,60,14
1513,38,58,59,64,68,21
1514,2,8,18,21,23,16
1515,18,34,40,42,50,9
1516,8,12,26,39,42,11
1517,39,53,54,56,57,20
1518,12,18,42,48,65,19
1519,7,8,35,50,65,20
1520,13,16,33,58,68,24
1521,2,20,49,61,67,20
1522,1,3,21,47,57,18
1523,1,33,35,40,69,24
1524,4,44,46,56,63,19
1525,10,12,33,36,41,2
1526,22,29,30,42,47,17
1527,2,37,39,48,54,5
1528,8,31,39,40,43,4
1529,33,35,45,48,60,16
1530,7,40,48,55,66,11
1531,5,9,27,39,42,16
1532,2,23,40,59,69,13
1533,15,27,44,59,63,8
1534,9,23,26,30,32,8
1535,4,29,49,50,67,2
1536,7,15,21,33,62,23
1537,18,43,58,60,68,14
1538,24,44,46,50,51,13
1539,8,27,29,36,47,24
1540,25,37,39,61,62,11
1541,10,12,15,19,56,19
1542,16,32,35,36,46,3
1543,14,47,54,55,68,25
1544,35,49,50,59,66,6
1545,23,30,35,41,57,2
1546,12,33,54,57,60,13
1547,9,12,15,31,60,2
1548,2,9,17,36,67,18
1549,11,33,44,59,67,8
1550,20,24,38,56,68,18
1551,39,41,53,55,68,19
1552,3,21,23,31,59,3
1553,2,4,7,43,56,22
1554,1,11,21,25,54,7
1555,49,53,57,59,62,26
1556,20,23,39,59,60,18
1557,2,4,16,30,46,20
1558,19,31,35,50,67,14
1559,14,18,26,39,68,9
1560,3,6,12,32,64,19
1561,24,29,42,44,63,10
1562,18,42,53,62,66,25
1563,8,27,44,51,61,14
1564,15,35,42,63,68,18
1565,15,26,37,53,55,21
1566,28,35,38,61,66,23
1567,7,15,39,40,57,12
1568,14,22,26,55,63,26
1569,23,26,27,28,66,11
1570,14,17,35,38,60,25
1571,15,28,46,62,64,17
1572,3,23,32,37,58,22
1573,19,22,52,56,67,21
1574,3,20,48,54,59,4
1575,5,12,50,61,69,23
1576,14,27,29,59,65,12
1577,1,5,25,63,67,3
1578,12,29,34,53,65,23
1579,5,18,33,43,65,2
1580,6,14,36,51,54,4
1581,4,8,10,43,53,7
1582,15,23,34,51,55,4
1583,37,43,44,45,53,25
1584,1,9,22,36,68,22
1585,14,19,39,47,51,15
1586,11,27,31,36,67,11
1587,6,17,24,53,57,3
1588,11,20,41,42,56,6
1589,4,8,30,52,59,2
1590,14,41,50,56,57,18
1591,9,32,37,41,56,14
1592,5,12,20,21,47,1
1593,12,21,22,29,32,21
1594,18,21,24,30,60,20
1595,10,13,30,51,69,10
1596,35,41,44,58,59,3
1597,8,32,47,53,59,3
1598,3,6,45,66,68,13
1599,14,37,47,55,67,6
1600,1,19,31,48,61,6
1601,22,29,35,53,56,13
1602,5,26,36,64,69,19
1603,19,43,47,60,68,10
1604,13,23,32,35,68,21
1605,7,9,26,44,68,3
1606,4,8,23,46,65,1
1607,40,43,45,50,61,25
1608,13,17,24,59,62,8
1609,1,5,16,22,54,24
1610,3,6,11,14,66,21
1611,4,18,21,26,38,1
1612,8,11,14,16,49,14
1613,5,35,38,42,57,13
1614,9,13,42,48,60,18
1615,17,23,28,34,38,8
1616,6,15,34,45,52,8
1617,3,32,34,42,61,7
1618,1,2,39,43,66,2
1619,7,10,20,44,57,3
1620,2,10,25,66,67,26
1621,7,17,33,61,68,4
1622,6,8,9,37,40,26
1623,1,45,53,64,66,3
1624,6,16,23,30,61,2
1625,5,23,28,56,66,17
1626,2,29,41,45,62,6
1627,6,32,35,36,65,4
1628,3,27,30,63,65,1
1629,1,15,17,46,66,15
1630,4,17,26,32,49,10
1631,12,21,23,39,67,6
1632,15,33,43,59,60,8
1633,16,19,25,32,49,18
1634,21,52,54,64,68,4
1635,16,20,37,44,62,12
1636,24,25,52,60,66,5
1637,10,14,50,53,63,21
1638,30,34,39,53,67,11
1639,18,36,45,47,69,14
1640,5,6,45,55,59,14
1641,6,10,21,35,46,23
1642,1,19,25,27,68,21
1643,21,31,42,49,59,23
1644,4,6,14,20,32,13
1645,27,49,50,51,52,2
1646,29,30,41,48,64,1
1647,2,8,14,24,69,26
1648,1,2,3,7,39,25
1649,5,13,28,38,63,21
1650,10,17,18,43,65,13
1651,2,12,16,29,54,6
1652,8,12,20,21,32,10
1653,23,25,47,48,50,24
1654,5,8,41,65,66,20
1655,14,29,31,56,61,1
1656,7,36,48,57,58,24
1657,6,19,37,49,59,22
1658,3,7,15,27,69,19
1659,8,12,42,46,56,12
1660,12,42,51,53,62,25
1661,5,25,38,52,67,24
1662,21,28,30,40,59,26
1663,15,29,31,37,43,16
1664,8,38,43,52,55,17
1665,4,9,21,29,64,26
1666,14,32,34,46,61,10
1667,9,11,36,37,38,11
1668,10,11,47,55,58,26
1669,4,19,59,68,69,21
1670,11,33,51,56,58,18
1671,7,14,23,38,55,18
1672,6,8,20,52,68,5
1673,7,42,49,62,69,23
1674,5,29,34,53,57,24
1675,26,28,34,42,50,25
1676,15,21,24,32,65,11
1677,7,25,39,40,47,20
1678,8,12,13,19,27,4
1679,3,21,45,53,56,22
1680,16,54,57,62,69,23
1681,3,57,64,68,69,15
1682,11,14,32,43,65,15
1683,8,23,27,42,60,7
1684,1,22,27,53,67,15
1685,41,53,59,63,66,3
1686,9,17,34,59,64,22
1687,1,2,7,30,50,8
1688,24,61,63,64,69,18
1689,4,39,48,50,51,11
1690,2,18,19,24,34,3
1691,6,28,48,63,64,24
1692,3,13,20,32,33,21
1693,6,15,50,59,60,13
1694,11,54,55,61,66,9
1695,25,41,53,57,67,12
1696,20,25,54,57,63,8
1697,1,7,45,47,69,13
1698,24,34,52,61,67,16
1699,12,15,28,47,48,16
1700,5,43,56,62,68,24
1701,10,21,30,43,63,17
1702,3,11,38,44,58,2
1703,5,22,32,38,58,26
1704,22,27,46,56,65,13
1705,2,18,41,44,64,26
1706,9,23,56,58,68,1
1707,1,10,27,28,36,12
1708,22,41,42,49,67,11
1709,19,21,27,46,47,7
1710,1,10,43,45,64,22
1711,4,7,15,41,44,10
1712,3,9,20,42,61,24
1713,7,28,37,62,63,15
1714,16,29,43,45,56,25
1715,4,14,23,27,56,13
1716,9,45,57,58,65,9
1717,13,20,38,45,55,1
1718,6,10,15,25,36,14
1719,23,28,41,53,56,14
1720,23,25,37,44,64,7
1721,17,23,26,46,68,20
1722,1,21,31,45,49,21
1723,20,54,56,61,64,7
1724,3,6,9,17,56,25
1725,17,19,21,22,51,19
1726,22,42,45,55,56,14
1727,11,16,38,50,69,19
1728,14,29,36,57,61,17
1729,5,14,31,40,50,6
1730,20,22,28,45,50,8
1731,17,18,39,56,64,12
1732,40,50,54,62,69,19
1733,9,10,12,17,23,9
1734,17,19,26,61,62,15
1735,16,18,27,55,67,18
1736,2,17,20,38,39,20
1737,8,24,42,54,64,24
1738,8,24,52,55,61,21
1739,6,8,26,52,53,21
1740,10,33,45,53,56,24
1741,3,4,18,29,61,25
1742,22,57,59,60,66,7
1743,6,12,24,41,68,9
1744,43,44,54,61,69,22
1745,6,13,19,36,51,18
1746,13,17,25,36,40,5
1747,12,30,59,65,69,16
1748,24,25,38,62,63,6
1749,7,15,31,34,36,8
1750,13,26,39,44,62,2
1751,37,39,44,46,69,26
1752,1,13,27,41,59,20
1753,23,34,35,40,47,10
1754,15,23,27,48,53,6
1755,4,7,14,46,59,22
1756,17,21,26,47,54,7
1757,5,9,11,33,64,21
1758,26,28,47,49,58,3
1759,3,33,37,51,57,21
1760,14,25,35,58,69,24
1761,7,24,33,49,50,4
1762,12,29,30,33,61,26
1763,2,18,37,39,42,12
1764,28,36,41,51,58,24
1765,3,9,16,56,60,3
1766,1,3,13,15,44,25
1767,1,20,61,64,69,20
1768,9,35,37,50,63,11
1769,2,24,28,51,58,7
1770,25,36,37,55,60,6
1771,19,20,50,55,62,9
1772,28,30,32,36,58,6
1773,24,26,28,59,63,16
1774,8,13,27,53,54,4
1775,35,37,46,51,61,13
1776,17,28,31,32,39,26
1777,23,32,44,48,50,25
1778,4,6,16,30,56,18
1779,12,14,20,21,34,22
1780,12,14,26,48,51,13
1781,3,6,19,26,44,1
1782,27,35,38,57,66,10
1783,18,22,29,54,57,8
1784,14,41,42,45,69,4
1785,30,49,54,66,69,8
1786,32,37,56,66,69,11
1787,1,3,13,19,69,23
1788,10,49,61,63,65,7
1789,22,23,62,63,66,24
1790,8,12,25,41,64,15
1791,8,10,21,23,25,22
1792,24,45,55,56,57,19
1793,39,48,53,67,68,26
1794,17,18,24,25,31,24
1795,17,24,35,57,63,19
1796,6,20,29,57,59,22
1797,8,14,32,58,67,17
1798,6,21,41,52,62,26
1799,19,28,43,67,69,7
1800,7,15,32,38,66,15
1801,6,7,16,23,26,4
1802,17,19,39,43,68,13
1803,9,15,43,60,64,4
1804,20,24,26,35,49,19
1805,12,30,36,47,62,9
1806,11,21,28,33,45,11
1807,1,16,54,63,69,18
1808,1,28,40,45,48,12
1809,7,19,21,42,69,12
1810,5,32,44,53,60,9
1811,50,51,59,61,63,4
1812,9,40,63,64,66,17
1813,1,2,18,23,61,9
1814,8,10,29,40,59,26
1815,4,9,16,54,68,21
1816,19,42,45,48,53,16
1817,29,37,46,53,68,8
1818,10,22,32,36,58,10
1819,14,46,61,65,68,13
1820,10,13,32,53,62,21
1821,5,22,43,57,63,24
1822,20,26,32,38,58,3
1823,5,21,57,66,69,13
1824,3,9,21,41,54,25
1825,4,33,39,46,60,6
1826,5,10,28,55,67,9
1827,28,32,33,38,62,15
1828,5,22,45,47,54,3
1829,4,11,39,45,48,9
1830,17,20,32,63,68,19
1831,29,31,46,56,62,8
1832,11,21,31,41,59,21
1833,17,18,49,59,66,9
1834,22,23,24,45,62,5
1835,1,15,18,26,51,26
1836,21,39,41,48,63,6
1837,1,19,37,40,52,15
1838,5,22,26,45,61,13
1839,8,14,61,63,68,24
1840,23,36,51,53,60,15
1841,8,20,46,53,54,13
1842,9,32,36,44,65,1
1843,8,15,31,36,62,11
1844,18,31,32,45,48,16
1845,2,9,27,29,42,9
1846,13,25,44,54,67,5
1847,16,30,41,48,53,16
1848,1,26,41,50,57,11
1849,23,33,42,46,59,4
1850,2,18,19,22,63,19
1851,10,16,40,52,55,17
1852,6,32,47,62,65,19
1853,10,13,28,52,61,2
1854,3,7,9,31,33,20
1855,5,28,33,38,42,19
1856,5,9,17,37,64,2
1857,14,20,42,49,66,5
1858,6,13,16,17,52,25
1859,9,43,57,60,64,10
1860,12,20,39,49,69,17
1861,18,28,62,66,68,22
1862,23,25,45,52,67,2
1863,9,40,41,53,58,12
1864,23,55,59,64,69,13
1865,1,3,13,16,43,24
1866,3,12,24,37,63,10
1867,16,17,29,41,42,4
1868,1,3,28,57,67,9
1869,16,23,30,44,58,4
1870,28,38,42,51,52,21
1871,25,33,40,54,68,3
1872,1,8,16,40,48,10
1873,18,26,37,39,66,15
1874,12,21,32,44,66,15
1875,41,48,49,53,64,20
1876,8,10,26,27,33,22
1877,3,14,18,25,45,7
1878,17,19,21,37,44,16
1879,7,32,41,47,61,3
1880,16,24,28,43,61,21
1881,28,41,61,63,65,7
1882,8,17,20,27,52,24
1883,1,25,28,31,54,2
1884,21,31,50,51,69,8
1885,13,18,37,54,61,5
1886,19,20,21,42,48,23
1887,2,3,16,48,56,24
1888,1,28,33,55,56,22
1889,10,16,38,43,63,23
1890,23,49,57,64,67,20
1891,16,30,34,37,44,16
1892,3,54,61,64,68,9
1893,8,18,27,29,60,15
1894,2,12,50,61,64,1
1895,30,38,52,53,62,1
1896,7,15,20,29,41,22
1897,1,28,63,67,69,17
1898,9,19,51,55,62,14
1899,10,11,23,28,31,14
1900,3,17,49,55,68,8
1901,22,23,29,33,55,21
1902,7,39,50,59,67,25
1903,5,10,24,56,61,12
1904,4,32,48,49,63,20
1905,9,11,25,64,65,16
1906,3,6,21,60,68,24
1907,33,44,49,50,52,8
1908,38,44,60,64,69,6
1909,23,56,61,64,67,12
1910,20,33,36,47,52,12
1911,9,11,27,66,67,2
1912,11,17,21,23,32,5
1913,10,47,50,65,68,24
1914,5,7,23,35,39,11
1915,6,25,35,58,66,5
1916,11,17,40,50,62,26
1917,3,15,29,54,57,10
1918,10,28,32,61,64,12
1919,2,24,31,57,66,18
1920,10,34,39,59,63,4
1921,23,29,37,60,64,6
1922,3,27,36,56,69,25
1923,14,40,42,43,52,17
1924,2,23,41,53,63,11
1925,4,22,24,31,33,10
1926,20,27,36,41,58,7
